iter	MAE
0	3.955066794
1	3.880046745
2	3.766056536
3	3.673483225
4	3.594006369
5	3.517930596
6	3.422509175
7	3.320279275
8	3.234119724
9	3.172565616
10	3.092480628
11	3.032980423
12	2.975837153
13	2.914498492
14	2.848516772
15	2.773035827
16	2.697913859
17	2.636694747
18	2.554588933
19	2.506764833
20	2.449675711
21	2.379616787
22	2.314476018
23	2.248969218
24	2.186222028
25	2.129509113
26	2.076851649
27	2.023150995
28	1.969588562
29	1.918038806
30	1.863810932
31	1.808853973
32	1.759425622
33	1.715480317
34	1.67055863
35	1.626967036
36	1.584082839
37	1.547709035
38	1.507402459
39	1.471274009
40	1.441558751
41	1.407342284
42	1.375608159
43	1.347819458
44	1.313844418
45	1.284051988
46	1.254011844
47	1.224653355
48	1.196972551
49	1.169038287
50	1.144923542
51	1.117982667
52	1.092308325
53	1.06905266
54	1.04369645
55	1.019521995
56	0.9959151051
57	0.9744502167
58	0.9542787391
59	0.9334451798
60	0.9132171483
61	0.892744252
62	0.8748640302
63	0.8546677792
64	0.8360530949
65	0.8187893907
66	0.8012333932
67	0.7840752366
68	0.7693626172
69	0.7551700837
70	0.7396292381
71	0.7246292044
72	0.7099507417
73	0.6960547581
74	0.6838998757
75	0.6710024032
76	0.6587727165
77	0.6447251482
78	0.6335647442
79	0.6219884778
80	0.611016366
81	0.6011452586
82	0.589934573
83	0.5800389354
84	0.5709617811
85	0.5610470773
86	0.5510015867
87	0.5417117748
88	0.5328627403
89	0.523858163
90	0.5158539322
91	0.5075163981
92	0.4993053234
93	0.4913545965
94	0.4840451008
95	0.4770337242
96	0.4701160532
97	0.4635201809
98	0.4568027832
99	0.4494093159
100	0.4433302326
101	0.4364715108
102	0.4307930902
103	0.4252861077
104	0.4196053487
105	0.4138974055
106	0.4093525278
107	0.404989681
108	0.3999962041
109	0.3951208445
110	0.3898225959
111	0.3853116721
112	0.3811102324
113	0.3774015117
114	0.3730107678
115	0.3690533945
116	0.3647034255
117	0.3606570839
118	0.357771272
119	0.3544086831
120	0.3506725573
121	0.3473851048
122	0.3439590687
123	0.3407168351
124	0.3378984334
125	0.3345152128
126	0.3317257991
127	0.3287729596
128	0.3258161202
129	0.3232251937
130	0.3208341948
131	0.31836427
132	0.3164254624
133	0.3141818216
134	0.3117380759
135	0.3098615802
136	0.3079239705
137	0.3055818561
138	0.3029538618
139	0.3005326548
140	0.2984032776
141	0.2961420359
142	0.2944823563
143	0.2924282701
144	0.2904739026
145	0.2888864326
146	0.2872102936
147	0.2855096958
148	0.2839311119
149	0.2824415927
150	0.2803447866
151	0.278273943
152	0.2768637672
153	0.2753551654
154	0.2741590707
155	0.2719830196
156	0.2704227525
157	0.2690905114
158	0.2676779338
159	0.2660701211
160	0.2646907507
161	0.2632794387
162	0.2621875197
163	0.2602763641
164	0.2583014064
165	0.2562623844
166	0.2553658138
167	0.2542880475
168	0.2528748145
169	0.2516138085
170	0.2496285262
171	0.2484818208
172	0.2470297314
173	0.2460169053
174	0.2449232597
175	0.2434710932
176	0.2419417395
177	0.2405669557
178	0.2396992294
179	0.2383427575
180	0.2368153608
181	0.2357902434
182	0.2350195696
183	0.2339313845
184	0.2329606208
185	0.2318617944
186	0.2304545926
187	0.2293801041
188	0.2285599805
189	0.227635785
190	0.2264126433
191	0.2253702367
192	0.2241592154
193	0.2231996414
194	0.2220260632
195	0.2211067365
196	0.2194370886
197	0.2181259633
198	0.2172888141
199	0.2165889316
200	0.2151640274
201	0.2140753337
202	0.2133239927
203	0.2126877841
204	0.2112422809
205	0.2109196203
206	0.2097110948
207	0.2090784835
208	0.2084191264
209	0.2074459459
210	0.2062572882
211	0.2053120465
212	0.2043761011
213	0.2033764329
214	0.2026182705
215	0.2018878632
216	0.2011457542
217	0.2000920248
218	0.1995488996
219	0.1987094212
220	0.1978202203
221	0.1970079557
222	0.1963356449
223	0.1953705093
224	0.1941951453
225	0.1936120461
226	0.1928075955
227	0.1919143592
228	0.190917384
229	0.1901769251
230	0.1896625696
231	0.1888369928
232	0.1878422379
233	0.1873890667
234	0.1861969594
235	0.1852620384
236	0.1844890787
237	0.183656673
238	0.1829793763
239	0.1824315408
240	0.1819405608
241	0.1813330405
242	0.1808427882
243	0.1803492469
244	0.179921585
245	0.1794155435
246	0.1785258753
247	0.1778279071
248	0.1771409079
249	0.1763062638
250	0.1759008846
251	0.1750837461
252	0.1745293186
253	0.1740916491
254	0.173605867
255	0.1727791108
256	0.1721060285
257	0.171176747
258	0.1705999554
259	0.1701976779
260	0.1696521117
261	0.169192218
262	0.1679502423
263	0.167318708
264	0.1667246328
265	0.1663953396
266	0.1660370984
267	0.1653640911
268	0.1644818145
269	0.1641432017
270	0.1633552636
271	0.1628451507
272	0.1624094912
273	0.1618090695
274	0.1610137297
275	0.1604512597
276	0.1597785653
277	0.1591714102
278	0.1582674616
279	0.1576207531
280	0.1570907911
281	0.1566283083
282	0.1557937038
283	0.1548720604
284	0.1542665038
285	0.1536318515
286	0.1528706761
287	0.1522255391
288	0.1516389257
289	0.1510625745
290	0.1503074049
291	0.1498013971
292	0.14891687
293	0.1485365597
294	0.1479217679
295	0.1471319849
296	0.1468657551
297	0.1465396158
298	0.1460515898
299	0.1454880764
300	0.145134366
301	0.1445468632
302	0.1441905664
303	0.1436320702
304	0.142993693
305	0.142613698
306	0.1420679349
307	0.1415088821
308	0.1411998102
309	0.1407720961
310	0.1404054486
311	0.1396041979
312	0.1389484714
313	0.1384211972
314	0.138024277
315	0.1375129778
316	0.1372383874
317	0.1366302966
318	0.1359535643
319	0.135496572
320	0.1351205115
321	0.1344631794
322	0.1339327669
323	0.1336009631
324	0.1332047801
325	0.1328271083
326	0.1323225126
327	0.131960201
328	0.1313289805
329	0.1310270431
330	0.1306545051
331	0.1302227765
332	0.1298220786
333	0.129011193
334	0.1287329403
335	0.1281708019
336	0.127377217
337	0.1267223753
338	0.1260097386
339	0.1257716741
340	0.1253671595
341	0.1248336368
342	0.1241597301
343	0.1236349266
344	0.1232197301
345	0.1228501153
346	0.1222878522
347	0.1220694837
348	0.1217574619
349	0.1214465108
350	0.1212040371
351	0.1207478998
352	0.1204768371
353	0.1201580523
354	0.1195441644
355	0.1190616995
356	0.1183962742
357	0.1180411422
358	0.1176548687
359	0.1173260564
360	0.1169757141
361	0.1162660765
362	0.1158184684
363	0.1153267179
364	0.1149671752
365	0.1147285315
366	0.1145094372
367	0.1141747256
368	0.11372585
369	0.1134045487
370	0.1129190678
371	0.1126425287
372	0.1121543763
373	0.1116359164
374	0.1112347719
375	0.1107116856
376	0.1103788911
377	0.1098201499
378	0.1094170084
379	0.1090435432
380	0.1087281828
381	0.1083582762
382	0.1078746953
383	0.1075608917
384	0.1072012354
385	0.1070359422
386	0.1068917408
387	0.1067017155
388	0.1064419843
389	0.1061072147
390	0.1056698208
391	0.1055389299
392	0.1052603748
393	0.1049745684
394	0.1046973785
395	0.1044360304
396	0.1042054835
397	0.1039063229
398	0.1036059328
399	0.1034252189
400	0.1031748652
401	0.1028868548
402	0.1027186924
403	0.1022999811
404	0.1019856961
405	0.101733602
406	0.1013649836
407	0.101038764
408	0.1007316085
409	0.1005616625
410	0.1002053765
411	0.09994807659
412	0.09976897636
413	0.09922749956
414	0.09900456792
415	0.09880735626
416	0.09842606026
417	0.09801976551
418	0.09783558548
419	0.09768006995
420	0.09744259781
421	0.09714731302
422	0.09681199773
423	0.09663162043
424	0.09628603789
425	0.09615549398
426	0.09595881457
427	0.09571910474
428	0.09546835375
429	0.09518803526
430	0.09475269346
431	0.09452803351
432	0.09425445736
433	0.09380439633
434	0.09345515334
435	0.09323449709
436	0.09309888204
437	0.09292464312
438	0.09253994303
439	0.09225759541
440	0.09202477262
441	0.09185848846
442	0.09149583625
443	0.09121535572
444	0.09096834895
445	0.09077715428
446	0.09051588073
447	0.09034506581
448	0.09017423607
449	0.09003584253
450	0.08988828263
451	0.0896028533
452	0.08948327676
453	0.0893478697
454	0.08916039351
455	0.08894359591
456	0.08868972798
457	0.08847203857
458	0.08828470408
459	0.08799959972
460	0.08784967066
461	0.0877136159
462	0.08763647622
463	0.0874688117
464	0.08700475392
465	0.08684374189
466	0.08661076939
467	0.0863855946
468	0.08588300765
469	0.08544166489
470	0.08528677395
471	0.08505538551
472	0.08456198954
473	0.08436000379
474	0.08410997224
475	0.08390012761
476	0.08371683529
477	0.08344365411
478	0.08311119021
479	0.08289084204
480	0.08264255898
481	0.0822326119
482	0.08202201958
483	0.08181538071
484	0.08164659223
485	0.08122128813
486	0.08107009039
487	0.08085613513
488	0.08065417043
489	0.08052280635
490	0.0803825611
491	0.08024741061
492	0.08019401691
493	0.08002269439
494	0.07974854815
495	0.07938250303
496	0.07924944149
497	0.07915386699
498	0.07887374626
499	0.07875027435
500	0.07852154807
501	0.07839794587
502	0.07826861794
503	0.07806523578
504	0.07781756016
505	0.07768569518
506	0.07748934254
507	0.07724204429
508	0.07708229633
509	0.07691969884
510	0.07682906264
511	0.07669101928
512	0.07657353615
513	0.07636597434
514	0.07607790997
515	0.07593482247
516	0.07579908418
517	0.07565059307
518	0.07551761517
519	0.07533576574
520	0.07517126881
521	0.07504438175
522	0.07478900133
523	0.0745517343
524	0.07433314307
525	0.07418791355
526	0.07408662513
