iter	Passed	Remaining
0	37	36994
1	68	34211
2	101	33716
3	133	33332
4	184	36670
5	218	36145
6	250	35554
7	283	35214
8	316	34889
9	348	34526
10	382	34350
11	416	34295
12	448	34088
13	483	34066
14	519	34135
15	554	34080
16	588	34017
17	623	34001
18	655	33827
19	689	33775
20	722	33670
21	757	33686
22	792	33648
23	825	33582
24	858	33479
25	893	33482
26	927	33424
27	960	33356
28	996	33369
29	1029	33294
30	1063	33231
31	1096	33169
32	1129	33088
33	1161	33012
34	1194	32928
35	1227	32856
36	1259	32792
37	1293	32735
38	1326	32676
39	1359	32627
40	1392	32559
41	1423	32471
42	1456	32424
43	1491	32405
44	1523	32335
45	1555	32269
46	1590	32252
47	1626	32251
48	1660	32217
49	1696	32238
50	1730	32204
51	1763	32143
52	1797	32112
53	1830	32064
54	1863	32012
55	1895	31960
56	1930	31941
57	1965	31922
58	1997	31860
59	2030	31803
60	2063	31761
61	2096	31713
62	2131	31703
63	2164	31650
64	2198	31618
65	2230	31559
66	2262	31505
67	2294	31444
68	2326	31391
69	2360	31360
70	2393	31322
71	2429	31318
72	2463	31279
73	2496	31245
74	2529	31196
75	2563	31160
76	2598	31144
77	2634	31145
78	2670	31131
79	2705	31108
80	2738	31072
81	2771	31025
82	2805	30993
83	2840	30970
84	2875	30954
85	2913	30959
86	2949	30951
87	2984	30925
88	3016	30878
89	3049	30834
90	3082	30795
91	3115	30751
92	3150	30727
93	3184	30694
94	3217	30648
95	3249	30599
96	3283	30564
97	3315	30517
98	3348	30477
99	3382	30442
100	3417	30416
101	3450	30380
102	3483	30338
103	3516	30294
104	3549	30253
105	3583	30221
106	3619	30208
107	3654	30183
108	3687	30142
109	3721	30107
110	3754	30072
111	3788	30039
112	3822	30001
113	3856	29970
114	3890	29940
115	3925	29913
116	3958	29875
117	3992	29841
118	4024	29791
119	4056	29746
120	4090	29715
121	4124	29683
122	4157	29643
123	4189	29596
124	4222	29555
125	4254	29512
126	4287	29469
127	4319	29423
128	4352	29388
129	4385	29347
130	4418	29311
131	4453	29284
132	4487	29254
133	4520	29216
134	4552	29170
135	4587	29142
136	4620	29103
137	4652	29062
138	4687	29036
139	4721	29001
140	4753	28962
141	4787	28930
142	4822	28903
143	4855	28861
144	4889	28831
145	4923	28798
146	4957	28769
147	4991	28734
148	5024	28694
149	5058	28664
150	5092	28632
151	5126	28602
152	5161	28573
153	5194	28534
154	5226	28495
155	5259	28457
156	5294	28428
157	5327	28391
158	5359	28346
159	5392	28312
160	5426	28279
161	5460	28247
162	5494	28214
163	5529	28188
164	5564	28157
165	5596	28119
166	5629	28081
167	5665	28058
168	5698	28018
169	5730	27977
170	5765	27948
171	5797	27908
172	5830	27871
173	5864	27840
174	5897	27801
175	5930	27766
176	5963	27730
177	5997	27697
178	6031	27664
179	6063	27623
180	6096	27586
181	6130	27551
182	6162	27511
183	6195	27473
184	6228	27438
185	6261	27404
186	6294	27366
187	6327	27327
188	6359	27288
189	6391	27246
190	6423	27209
191	6456	27172
192	6492	27146
193	6528	27122
194	6564	27100
195	6604	27092
196	6639	27062
197	6673	27031
198	6707	26997
199	6741	26967
200	6774	26931
201	6807	26894
202	6841	26860
203	6874	26825
204	6907	26788
205	6942	26759
206	6976	26727
207	7009	26691
208	7044	26661
209	7080	26637
210	7113	26600
211	7146	26564
212	7179	26526
213	7212	26490
214	7245	26453
215	7278	26417
216	7311	26383
217	7344	26346
218	7377	26308
219	7410	26272
220	7444	26240
221	7478	26209
222	7513	26180
223	7551	26160
224	7586	26130
225	7620	26097
226	7656	26073
227	7692	26048
228	7726	26014
229	7760	25979
230	7793	25946
231	7829	25917
232	7862	25883
233	7897	25852
234	7934	25828
235	7968	25796
236	8005	25773
237	8040	25744
238	8075	25714
239	8109	25679
240	8144	25648
241	8178	25616
242	8210	25576
243	8244	25544
244	8278	25512
245	8311	25476
246	8344	25438
247	8378	25405
248	8410	25367
249	8444	25333
250	8478	25299
251	8511	25264
252	8546	25233
253	8580	25202
254	8613	25165
255	8648	25134
256	8681	25098
257	8714	25062
258	8748	25028
259	8781	24992
260	8813	24956
261	8848	24924
262	8882	24892
263	8915	24855
264	8950	24823
265	8984	24791
266	9019	24760
267	9053	24727
268	9088	24697
269	9121	24660
270	9155	24627
271	9187	24590
272	9219	24551
273	9250	24511
274	9283	24474
275	9316	24438
276	9349	24403
277	9382	24366
278	9414	24328
279	9447	24294
280	9482	24263
281	9516	24230
282	9552	24200
283	9587	24170
284	9620	24134
285	9653	24100
286	9689	24072
287	9722	24037
288	9755	24001
289	9788	23964
290	9823	23933
291	9855	23897
292	9887	23858
293	9920	23822
294	9953	23787
295	9987	23753
296	10024	23728
297	10058	23695
298	10090	23656
299	10122	23619
300	10156	23586
301	10191	23554
302	10223	23518
303	10257	23485
304	10291	23451
305	10323	23413
306	10356	23377
307	10388	23340
308	10422	23307
309	10456	23273
310	10490	23240
311	10524	23208
312	10561	23182
313	10594	23145
314	10627	23111
315	10661	23076
316	10694	23042
317	10728	23009
318	10762	22975
319	10796	22942
320	10829	22906
321	10861	22870
